,Sentence,PreprocessedSentence,Sentiment
508,"Finnish-owned contract manufacturer of electronics Elcoteq Hungary Kft has announced plans to recruit more than 650 new staffers to fulfill new orders in P+®cs , where the company has two plants .",finnishowne contract manufacturer of electronic elcoteq hungary kft have announce plan to recruit more than new staffer to fulfill new order pc where company have two plant,positive
509,"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",at pm omx helsinki index be pct low at,neutral
510,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",nyrstar have also agree to supply to talvivaara up to tonne of sulphuric acid per annum for use talvivaara leach process during period of supply of zinc concentrate,positive
511,23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,april finnish construction engineering company outotec oyj hel otev say today it slip to net loss of eur m first quarter of from net profit of eur m corresponding period last year,negative
512,"Revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier .",revenue be slightly down at xac million million compare to xac million year early,neutral
513,"RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in cornering NAND, Apple mastered EVERYONE'S supply chain!",rt dasan tmtanalyst since aapl master their supply chain corner nand apple master everyone be supply chain !,positive
514,Poyry 's net sales in 2007 amounted to about EUR 720 million and it employs 7400 experts .,poyry net sale amount to about eur million it employ expert,neutral
515,The adjustments concern staff in both the Specialty Papers and the Fiber Composites segments .,adjustment concern staff both specialty paper fiber composite segment,neutral
516,"According to the notification , the holdings of Ameriprice Inc. and its group companies are now in total 808,973 shares , which represent 3.582 % of Tekla -¦ s shares and voting rights .",accord to notification holding of ameriprice inc its group company be now total share which represent of tekla s share voting right,neutral
517,"#Apple breaks major support, here are some levels to watch - http://stks.co/jRmW $AAPL $QQQ",apple break major support here be some level to watch aapl qqq,negative
518,Royal Mail chairman Donald Brydon set to step down,royal mail chairman donald brydon set to step down,negative
519,It also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .,it also confirm its earning guidance for whole issue its report for whole,neutral
520,Their offering also covers localisation services related to production transfer to the Finnish company 's customers that already have production in Asian market or have made the decision to transfer production there .,their offering also cover localisation service relate to production transfer to finnish company customer that already have production asian market have make decision to transfer production there,neutral
521,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",dbs julius baer emerge as potential bidder for barclays asia wealth unit,positive
522,The fair value of investment properties was EUR 2 251.0 ( 1 281.4 ) million .,fair value of investment property be eur million,neutral
523,"CompaniesTravis Perkins lifts dividend, earnings rise 15%",companiestravis perkin lift dividend earning rise,positive
524,"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .",okmetic product be base hightech expertise that generate add value for customer innovative product development extremely efficient production process,positive
525,"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",comparable operating profit total eur mn down from eur mn corresponding period represent of net sale,neutral
526,"The equipment is designated to Bollore Africa Logistics terminal Societe d'Exploitation du Terminal de Vridi SETV in Abidjan , Ivory Coast and the delivery is scheduled to start in March 2010 .",equipment be designate to bollore africa logistics terminal societe d'exploitation du terminal de vridi setv abidjan ivory coast delivery be schedule to start march,neutral
527,"Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH .",teleste hybrid tv solution include component for whole process of deliver video service to consumer from content acquisition service creation to delivery through range of access solution include hfc hybrid fibrecoaxial xdsl etth ftth,neutral
528,"In 2006 the company 's net sales amounted to approximately EUR259m and it has some 8,000 employees .",company net sale amount to approximately eurm it have some employee,neutral
